R1005-F.Cu.gbr        Front (Top) layer copper
R1005-In1.Cu.gbr      Inner 1 layer copper
R1005-In2.Cu.gbr      Inner 2 layer copper
R1005-F.Adhes.gbr     Front (Top) layer adhesive
R1005-B.Cu.gbr        Back (Bottom) layer copper
R1005-F.Paste.gbr     Front (Top) Solder Paste
R1005-B.Paste.gbr     Back (Bottom) Solder Paste
R1005-B.SilkS.gbr     Back (Bottom) Silk Screen
R1005-F.SilkS.gbr     Front (Top) Silk Screen
R1005-F.Mask.gbr      Front (Top) Solder Mask
R1005-B.Mask.gbr      Back (Bottom) Solder Mask
R1005-Edge.Cuts.gbr   Edge Cut (routing cut)
R1005-NPTH.drl        Non-Plated through hole drills
R1005.drl             Plated through hole drills
R1005-top.pos         Front (Top) component position file (SMT assembly)
R1005-bot.pos         Back (Bottom) component position file (SMT assembly)
